timestamp,E1_ip,E1_state,E1_voltage,E1_current,E1_power_kW,E1_flow_NLh,E1_temp_C,E2_ip,E2_state,E2_voltage,E2_current,E2_power_kW,E2_flow_NLh,E2_temp_C,E3_ip,E3_state,E3_voltage,E3_current,E3_power_kW,E3_flow_NLh,E3_temp_C,E4_ip,E4_state,E4_voltage,E4_current,E4_power_kW,E4_flow_NLh,E4_temp_C,E5_ip,E5_state,E5_voltage,E5_current,E5_power_kW,E5_flow_NLh,E5_temp_C,E6_ip,E6_state,E6_voltage,E6_current,E6_power_kW,E6_flow_NLh,E6_temp_C,E7_ip,E7_state,E7_voltage,E7_current,E7_power_kW,E7_flow_NLh,E7_temp_C,E8_ip,E8_state,E8_voltage,E8_current,E8_power_kW,E8_flow_NLh,E8_temp_C,total_flow_NLh
2025-10-15 18:38:24,10.1.10.53,Idle,0.15657664835453033,0.3425152897834778,5.3629896084477654e-05,nan,19.23738670349121,10.1.10.54,Idle,0.10485771298408508,0.15847733616828918,1.6617571030416833e-05,nan,19.11580467224121,10.1.10.55,Idle,0.11485972255468369,0.06792975217103958,7.802392487574028e-06,nan,19.32491111755371,10.1.10.56,Idle,0.10408277809619904,0.3450041115283966,3.590898638248641e-05,nan,19.445667266845703,10.1.10.57,Idle,0.10573013871908188,0.20612169802188873,2.1793275724867e-05,nan,19.1356201171875,10.1.10.58,Idle,31.761857986450195,0.24737121164798737,0.00785696929429949,nan,24.06644630432129,10.1.10.59,Idle,0.09687132388353348,0.2656037509441376,2.5729386982390913e-05,nan,18.823095321655273,10.1.10.60,Idle,0.11064345389604568,0.3851419985294342,4.261344095772235e-05,nan,19.29188346862793,0.0
2025-10-15 18:38:33,10.1.10.53,Idle,0.15615397691726685,0.340175986289978,5.311983311093371e-05,nan,19.238006591796875,10.1.10.54,Idle,0.10444529354572296,0.15854594111442566,1.6559377360179094e-05,nan,19.117042541503906,10.1.10.55,Idle,0.1150718703866005,0.07014410942792892,8.07161386847416e-06,nan,19.324703216552734,10.1.10.56,Idle,0.10458103567361832,0.3524605631828308,3.686069073176723e-05,nan,19.44546127319336,10.1.10.57,Idle,0.10512203723192215,0.20563021302223206,2.1616266909331162e-05,nan,19.13747787475586,10.1.10.58,Idle,31.753578186035156,0.244634211063385,0.007768011547980223,nan,24.0499324798584,10.1.10.59,Idle,0.09712531417608261,0.2705185115337372,2.6274195423160452e-05,nan,18.822477340698242,10.1.10.60,Idle,0.11061596125364304,0.39397597312927246,4.358003097853391e-05,nan,19.291057586669922,0.0
2025-10-15 18:38:42,10.1.10.53,Idle,0.15627628564834595,0.34435996413230896,5.381529612059488e-05,nan,19.240276336669922,10.1.10.54,Idle,0.10458448529243469,0.16340520977973938,1.7089649758916358e-05,nan,19.117042541503906,10.1.10.55,Idle,0.11495165526866913,0.06967778503894806,8.00957672568159e-06,nan,19.325529098510742,10.1.10.56,Idle,0.10431154072284698,0.35049840807914734,3.656102896764102e-05,nan,19.445667266845703,10.1.10.57,Idle,0.1055828332901001,0.2067401260137558,2.1828208259284663e-05,nan,19.1356201171875,10.1.10.58,Idle,31.750492095947266,0.24575555324554443,0.007802859750857806,nan,24.0352783203125,10.1.10.59,Idle,0.09699546545743942,0.268587201833725,2.6051740657773382e-05,nan,18.822269439697266,10.1.10.60,Idle,0.11084461212158203,0.39494943618774414,4.377801706186801e-05,nan,19.293533325195312,0.0
2025-10-15 18:38:51,10.1.10.53,Idle,0.15659849345684052,0.32186564803123474,5.0403675577201046e-05,nan,19.240070343017578,10.1.10.54,Idle,0.1044921875,0.16227759420871735,1.6956740801106207e-05,nan,19.11766242980957,10.1.10.55,Idle,0.11535897850990295,0.07290339469909668,8.410061142392067e-06,nan,19.32635498046875,10.1.10.56,Idle,0.10428619384765625,0.350494921207428,3.6551781295656836e-05,nan,19.446287155151367,10.1.10.57,Idle,0.10509043186903,0.2043396681547165,2.1474143974353433e-05,nan,19.135826110839844,10.1.10.58,Idle,31.742202758789062,0.24666044116020203,0.007829545735879491,nan,24.022066116333008,10.1.10.59,Idle,0.09702551364898682,0.2650153636932373,2.57132517872094e-05,nan,18.823715209960938,10.1.10.60,Idle,0.11114384233951569,0.39670807123184204,4.409165932380521e-05,nan,19.294153213500977,0.0
2025-10-15 18:39:00,10.1.10.53,Idle,0.15581145882606506,0.33622562885284424,5.2387805726272775e-05,nan,19.24110221862793,10.1.10.54,Idle,0.10496141016483307,0.16000978648662567,1.679485282981008e-05,nan,19.11724853515625,10.1.10.55,Idle,0.11515974998474121,0.06922834366559982,7.972318748388218e-06,nan,19.324085235595703,10.1.10.56,Idle,0.10466179996728897,0.3473425507545471,3.6353496567200325e-05,nan,19.44587516784668,10.1.10.57,Idle,0.10493846237659454,0.20662745833396912,2.1683167762350573e-05,nan,19.136859893798828,10.1.10.58,Idle,31.7300968170166,0.2479730248451233,0.007868208086344225,nan,24.006378173828125,10.1.10.59,Idle,0.09697628766298294,0.26559919118881226,2.575682356778186e-05,nan,18.821651458740234,10.1.10.60,Idle,0.11077184975147247,0.3928743898868561,4.351942288774824e-05,nan,19.29250144958496,0.0
2025-10-15 18:39:09,10.1.10.53,Idle,0.1559402048587799,0.3407990038394928,5.314426647439863e-05,nan,19.24151611328125,10.1.10.54,Idle,0.10486689954996109,0.16217924654483795,1.7007234756505896e-05,nan,19.116836547851562,10.1.10.55,Idle,0.11513222754001617,0.06544379889965057,7.53469034599763e-06,nan,19.324703216552734,10.1.10.56,Idle,0.10438968986272812,0.34319260716438293,3.5825769825071016e-05,nan,19.44690704345703,10.1.10.57,Idle,0.10522578656673431,0.20407892763614655,2.1474365682209172e-05,nan,19.13665199279785,10.1.10.58,Idle,31.72087860107422,0.24577955901622772,0.007796343554179316,nan,23.99151611328125,10.1.10.59,Idle,0.09713979065418243,0.2670784592628479,2.5943945621034637e-05,nan,18.822269439697266,10.1.10.60,Idle,0.11088341474533081,0.3956848382949829,4.387488603310175e-05,nan,19.29374122619629,0.0
2025-10-15 18:39:18,10.1.10.53,Idle,0.15616491436958313,0.3369898498058319,5.262599103834642e-05,nan,19.24110221862793,10.1.10.54,Idle,0.1046757698059082,0.159084290266037,1.665227054762397e-05,nan,19.11663055419922,10.1.10.55,Idle,0.11518742889165878,0.06972067803144455,8.030945643025256e-06,nan,19.32449722290039,10.1.10.56,Idle,0.10440423339605331,0.3427462875843048,3.578416340458257e-05,nan,19.448556900024414,10.1.10.57,Idle,0.1053372398018837,0.20283663272857666,2.136625102233669e-05,nan,19.13603401184082,10.1.10.58,Idle,31.71113395690918,0.24708499014377594,0.007835345221190863,nan,23.976240158081055,10.1.10.59,Idle,0.09688249975442886,0.2611270248889923,2.5298638924682537e-05,nan,18.822477340698242,10.1.10.60,Idle,0.1105375662446022,0.39248034358024597,4.338382197820567e-05,nan,19.294979095458984,0.0
2025-10-15 18:39:27,10.1.10.53,Idle,0.15638186037540436,0.3365006744861603,5.262260149372411e-05,nan,19.241928100585938,10.1.10.54,Idle,0.10473372042179108,0.1586322784423828,1.6614148700256238e-05,nan,19.118488311767578,10.1.10.55,Idle,0.11512397229671478,0.06458836048841476,7.435668623558489e-06,nan,19.324085235595703,10.1.10.56,Idle,0.10441159456968307,0.35160884261131287,3.671203992184791e-05,nan,19.44773292541504,10.1.10.57,Idle,0.10514092445373535,0.20576432347297668,2.1634251189546204e-05,nan,19.138097763061523,10.1.10.58,Idle,31.70333480834961,0.24786125123500824,0.007858028233919925,nan,23.963647842407227,10.1.10.59,Idle,0.09677518159151077,0.26678428053855896,2.5818097194879595e-05,nan,18.822477340698242,10.1.10.60,Idle,0.11070574074983597,0.39886122941970825,4.415622785929907e-05,nan,19.293947219848633,0.0
2025-10-15 18:39:36,10.1.10.53,Idle,0.15614844858646393,0.3377320468425751,5.273633515239906e-05,nan,19.24213409423828,10.1.10.54,Idle,0.10450813919305801,0.1575043797492981,1.6460489642355912e-05,nan,19.120346069335938,10.1.10.55,Idle,0.11521163582801819,0.07121025025844574,8.20424941999809e-06,nan,19.326560974121094,10.1.10.56,Idle,0.10463299602270126,0.3463447391986847,3.6239087719059484e-05,nan,19.448556900024414,10.1.10.57,Idle,0.10542551428079605,0.20409348607063293,2.151666073035696e-05,nan,19.135826110839844,10.1.10.58,Idle,31.692594528198242,0.2461092174053192,0.007799839636878972,nan,23.948373794555664,10.1.10.59,Idle,0.09661753475666046,0.2668328881263733,2.5780735842769964e-05,nan,18.82288932800293,10.1.10.60,Idle,0.11048461496829987,0.39668038487434387,4.3827079588318885e-05,nan,19.29374122619629,0.0
2025-10-15 18:39:45,10.1.10.53,Idle,0.1561109572649002,0.33844366669654846,5.2834764788241006e-05,nan,19.244611740112305,10.1.10.54,Idle,0.10489816218614578,0.1595325917005539,1.6734675678180876e-05,nan,19.118488311767578,10.1.10.55,Idle,0.11526380479335785,0.07015839964151382,8.086724080893838e-06,nan,19.326974868774414,10.1.10.56,Idle,0.10413453727960587,0.3500449061393738,3.645176432790675e-05,nan,19.44835090637207,10.1.10.57,Idle,0.10568397492170334,0.20551557838916779,2.1719703232500166e-05,nan,19.136240005493164,10.1.10.58,Idle,31.684846878051758,0.24735461175441742,0.007837392998018658,nan,23.932477951049805,10.1.10.59,Idle,0.09666048735380173,0.26419252157211304,2.5536977890390223e-05,nan,18.823715209960938,10.1.10.60,Idle,0.11065256595611572,0.3976607322692871,4.4002180405584565e-05,nan,19.29559898376465,0.0
