Time (s),Vessel Temp (C),Vessel Pressure (barG)
4.76837158203125e-07,24.1875,146.75840718749998
2.0000016689300537,24.15,146.525807109375
4.00000262260437,24.075,146.29320703125
6.000003337860107,24.1875,146.036122734375
8.000004768371582,24.224999999999998,145.80352265624998
10.000005960464478,24.2625,145.58316468750002
12.000007152557373,24.2625,145.36280671875
14.00001311302185,24.2625,145.11796453125
16.000013828277588,24.2625,144.90984867187498
18.000015020370483,24.299999999999997,144.67724859375
20.00001573562622,24.3375,144.48137484375002
22.000016689300537,24.375,144.24877476562497
24.000017881393433,24.375,144.003932578125
26.00001883506775,24.375,143.783574609375
28.000019788742065,24.45,143.63666929687503
30.000020742416382,24.4875,143.35510078124997
32.00002193450928,24.4875,143.1347428125
34.000022888183594,24.4875,143.000079609375
36.00002384185791,24.4875,142.75523742187502
38.000025272369385,24.5625,142.52263734375
40.00002598762512,24.599999999999998,142.37573203125
42.00002694129944,24.599999999999998,142.118647734375
44.000027656555176,24.5625,141.8615634375
46.00002861022949,24.6375,141.69017390624998
48.00002932548523,24.6375,141.4698159375
50.00003004074097,24.6375,141.261700078125
52.000030755996704,24.675,141.0291
54.00003147125244,24.675,140.85771046875
56.00003266334534,24.6375,140.625110390625
58.000033378601074,21.45,140.38026820312496
60.00003409385681,24.599999999999998,140.208878671875
62.00003504753113,24.75,139.97627859375004
64.00003743171692,24.825,139.64574164062498
66.00003838539124,24.825,139.560046875
68.00003957748413,24.7875,139.364173125
70.00004076957703,24.9,139.107088828125
72.00004196166992,24.9375,138.935699296875
74.00004315376282,24.9,138.715341328125
76.00004553794861,24.9,138.5317096875
78.0000467300415,25.05,138.31135171875
80.00004768371582,25.087500000000002,138.02978320312496
82.00004839897156,25.05,137.89512000000002
84.0000491142273,25.087500000000002,137.77269890624999
86.0000524520874,25.087500000000002,137.54009882812497
88.0000536441803,25.125000000000004,137.29525664062498
90.00005435943604,25.275000000000002,137.05041445312503
92.00005507469177,25.3125,136.8667828125
