Time (s),Vessel Temp (C),Vessel Pressure (barG)
4.76837158203125e-07,25.275000000000002,54.38627130681819
2.0000016689300537,25.5375,54.317713068181824
4.00000262260437,25.5375,54.2344637784091
6.0000035762786865,25.65,54.15121448863638
8.000005006790161,25.65,54.10714133522728
10.000005960464478,25.724999999999998,54.02389204545455
12.000006914138794,25.8,53.96512784090909
14.000012636184692,25.837500000000002,53.8671875
16.00001358985901,25.724999999999998,53.75455610795455
18.000014305114746,25.7625,53.685997869318186
20.000015258789062,25.837500000000002,53.60764559659092
22.00001621246338,25.837500000000002,53.52439630681819
24.00001883506775,25.874999999999996,53.485220170454554
26.000019788742065,25.95,53.42155894886364
28.000020742416382,26.025,53.35300071022728
30.00002145767212,25.9875,53.29913352272728
32.000022411346436,26.025,53.2109872159091
34.00002336502075,26.1,53.12284090909092
36.00002408027649,26.1,53.03959161931818
38.00002479553223,26.1,52.9416512784091
40.000025272369385,26.174999999999997,52.877990056818184
42.0000262260437,26.25,52.77515269886363
44.00002694129944,26.25,52.75066761363637
46.000027894973755,26.325,52.672315340909094
48.00002908706665,26.3625,52.593963068181814
50.00002980232239,26.474999999999998,52.52050781250001
52.000030755996704,26.474999999999998,52.461743607954546
54.00003170967102,26.474999999999998,52.38339133522728
56.00003266334534,26.587500000000002,52.31973011363637
58.000033378601074,26.624999999999996,52.251171875000004
60.00003433227539,26.662499999999998,52.17771661931817
62.00003504753113,26.7375,52.08467329545455
64.00003623962402,26.7375,51.9818359375
66.00003695487976,26.775,51.90838068181819
68.00003790855408,26.85,51.864307528409086
70.00003862380981,26.775,51.8104403409091
72.00003981590271,26.8125,51.75167613636364
74.00004076957703,26.775,51.67332386363636
76.00004148483276,26.8125,51.60966264204545
78.0000422000885,26.85,51.5508984375
80.00004315376282,26.85,51.47254616477274
82.00004410743713,26.85,51.408884943181825
84.00004506111145,26.8125,51.3354296875
86.00004649162292,26.775,51.28645951704545
88.00004720687866,26.775,51.20321022727274
90.00004816055298,26.775,51.14444602272728
92.00004887580872,26.775,51.070990767045465
94.00004959106445,26.775,51.022020596590906
96.00005054473877,26.8125,50.94366832386364
98.0000512599945,26.85,50.85062500000001
100.00005221366882,26.85,50.796757812500005
102.00005340576172,26.924999999999997,50.72819957386364
104.00005412101746,27.0,50.66943536931818
106.00005531311035,27.0375,50.61067116477273
108.00005626678467,27.075,50.54211292613637
110.00005722045898,27.1125,50.473554687500005
112.0000581741333,27.150000000000002,50.40499644886364
114.00005912780762,27.150000000000002,50.34133522727273
116.00006079673767,27.187500000000004,50.28257102272728
118.00006175041199,27.150000000000002,50.21401278409092
120.00006246566772,27.150000000000002,50.16014559659091
122.00006341934204,27.2625,50.08179332386364
124.00006461143494,27.224999999999998,50.01813210227273
126.00006532669067,27.3,49.949573863636374
128.0000660419464,27.3,49.881015625
130.00006747245789,27.3,49.81735440340909
132.00006818771362,27.3375,49.74389914772727
134.00006890296936,27.4125,49.675340909090906
136.0000696182251,27.375,49.61167968750001
138.000070810318,27.375,49.033831676136366
140.0000720024109,27.450000000000003,47.86834161931817
142.00007271766663,27.4125,46.771409801136365
144.00007367134094,27.450000000000003,45.72344815340908
146.00007510185242,27.487499999999997,44.73425071022728
148.00007605552673,27.525,43.79892045454546
150.0000765323639,27.450000000000003,42.902766335227284
152.0000777244568,27.450000000000003,42.05068536931818
154.0000786781311,27.450000000000003,41.23778053977273
156.00007963180542,27.450000000000003,40.48363991477273
158.00008034706116,27.487499999999997,39.74419034090909
160.00008130073547,27.6,39.034122869318175
162.00008177757263,27.487499999999997,38.37302556818181
164.00008273124695,27.450000000000003,37.726619318181825
166.00008368492126,27.525,37.114492187500005
168.00008463859558,27.6,36.50726207386363
170.00008535385132,27.6375,35.93920809659091
172.0000867843628,27.5625,35.385845170454544
174.0000877380371,27.6375,34.87165838068182
176.00008916854858,27.6,34.35257457386364
178.00008988380432,27.5625,33.87756392045454
180.00009083747864,27.5625,33.407450284090906
182.00009179115295,27.487499999999997,32.92754261363636
184.00009274482727,27.487499999999997,32.49660511363637
186.00009393692017,27.525,32.085255681818175
188.00009512901306,27.5625,31.688597301136365
190.00009632110596,27.6,31.27235085227273
192.0000970363617,27.5625,30.895280539772735
194.000097990036,27.487499999999997,30.50351917613636
196.00009942054749,27.5625,30.126448863636362
198.00010013580322,27.525,29.783657670454552
200.00010108947754,27.487499999999997,29.45555752840909
202.00010204315186,27.4125,29.107869318181816
204.000102519989,27.487499999999997,28.794460227272726
206.00010347366333,27.487499999999997,28.500639204545454
208.00010442733765,27.5625,28.211715198863633
210.00010561943054,27.525,27.93258522727273
212.00010657310486,27.5625,27.658352272727278
214.00010704994202,27.525,27.433089488636362
216.00010800361633,27.525,27.18334161931818
218.00010919570923,27.525,26.962975852272724
220.0001096725464,27.6,26.723022017045455
222.0001106262207,27.6375,26.487965198863634
224.00011134147644,27.6,26.267599431818187
226.00011205673218,27.6,26.04723366477273
228.00011324882507,27.6,25.846455965909094
230.0001139640808,27.6,25.670163352272734
232.00011491775513,27.6375,25.488973721590906
234.00011610984802,27.675,25.30778409090909
236.00011706352234,27.675,25.131491477272725
238.00011801719666,27.712500000000002,24.935610795454547
240.00011897087097,27.712500000000002,24.73973011363637
242.00012016296387,27.675,48.49026278409091
244.00012111663818,27.712500000000002,48.10829545454546
246.0001220703125,27.712500000000002,48.07401633522728
248.00012302398682,27.787499999999998,48.06422230113637
250.00012397766113,27.8625,48.02014914772728
252.00012469291687,27.825,46.531455965909096
254.0001254081726,27.825,38.75009588068182
